	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_timestamp	trainer/global_step	lr-Adam	_runtime	val_loss	train_loss	_step	epoch	max_val_accuracy	name
220	attentive_lstm	0.9601701253174344	0.9858297708608325		0.409226856649605	0.0008453045402093406	0.129418278266835	3	1	adam	reduceonplateau	2	400	1	1408	65	True	0.0031843720425470774	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697087515/version_0	1	48	2	1	0.061357059493746216	True	128	128	65	65	2813200	2	LSTMEncoder	0		min	0.0008453045402093406	1	0.3333333333333333	0	5	loss	0.409226856649605	4	2	1697093498.7578292	14239	0.0008453045402093406	5971.541303157806	0.4895533323287964	0.485741525888443	801	355	1.0	stellar-sweep-26
221	attentive_lstm	0.9981058228107792	0.98067565345394		0.8156106060088968	0.0003930312603056117	0.06496411494290094	3	1	adam	reduceonplateau	2	1984	1	192	65	True	0.006868435977359524	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697087515/version_0	1	400	1	1	0.1705666126886537	True	128	128	65	65	3613600	5	LSTMEncoder	0		min	0.0003930312603056117	1	0.3333333333333333	0	5	loss	0.8156106060088968	4	5	1697088490.0141802	8843	0.0013449953140727403	962.6769552230836	7.301885604858398	132.74063110351562	603	267	0.8600000143051147	upbeat-sweep-27
222	attentive_lstm	0.961341841718402	0.9966390744883928		0.2868470667510743	0.0003125846931645755	0.02850398258084419	3	1	adam	None	2	1776	1	256	65	True	0.0004809227138967205	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697087025/version_0	1	192	2	1	0.11555307295795804	True	128	128	65	65	1624500	2	LSTMEncoder	0		min	0.0003125846931645755	1	0.3333333333333333	0	5	loss	0.2868470667510743	4	2	1697087718.0807617	8287	0.0004809227138967205	685.6817317008972	0.827629566192627	0.8284024000167847	504	223	1.0	lunar-sweep-25
223	attentive_lstm	0.8093725244349107	0.9828412160611448		0.5458867287623069	0.00047348814417544355	0.4300037364305741	3	1	adam	None	2	1648	1	1856	65	True	0.005099915874781476	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697086065/version_0	1	192	1	1	0.16277368493007718	True	128	128	65	65	4100200	2	LSTMEncoder	0		min	0.00047348814417544355	1	0.3333333333333333	0	5	loss	0.5458867287623069	4	2	1697096030.6984196	10763	0.005099915874781476	9953.882655620577	1.2420668601989746	1.145553708076477	621	275	0.9980000257492064	tough-sweep-24
224	attentive_lstm	0.8749755608284329	0.9970064808391992		0.33022283433924243	0.000128823413581315	0.35538071813533595	3	1	adam	warmupinvsqrt	2	1760	1	1856	65	True	0.0009308289297999777	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697086065/version_0	1	464	2	1	0.0159661931559802	True	128	128	65	65	438600	5	LSTMEncoder	0		min	0.000128823413581315	1	0.3333333333333333	1993	5	loss	0.33022283433924243	4	5	1697095097.1255472	8287	0.0004574780153015193	9020.299894094467	0.15329493582248688	0.1478440761566162	504	223	1.0	classic-sweep-23
225	attentive_lstm	0.987076851043487	0.9817652865316152		0.3877131022493254	0.0004578165829558535	0.38087046248595213	3	1	adam	warmupinvsqrt	2	1472	1	896	65	True	4.082311820529202e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697086065/version_0	1	112	1	1	0.10763655798610612	True	128	128	65	65	2601100	3	LSTMEncoder	0		min	0.0004578165829558535	1	0.3333333333333333	14136	5	loss	0.3877131022493254	4	3	1697094362.232064	29215	2.841753086107512e-06	8285.693104982376	0.790317952632904	0.797958254814148	1494	663	1.0	celestial-sweep-21
226	attentive_lstm	0.8672627846862592	0.9891432208843494		0.5119945976014678	0.00020194914216116976	0.3916428479480861	3	1	adam	None	2	128	1	192	65	True	1.2149375395945264e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697086065/version_0	1	32	1	1	0.1839759832400777	True	128	128	65	65	1873700	5	LSTMEncoder	0		min	0.00020194914216116976	1	0.3333333333333333	0	5	loss	0.5119945976014678	4	5	1697093812.0355282	50399	1.2149375395945264e-05	7735.495982170105	1.253668189048767	1.28449809551239	1800	799	1.0	fast-sweep-22
227	attentive_lstm	0.9865329342515016	0.9948446213691438		0.29152261280071445	0.0004993871466414741	0.3782207482839301	3	1	adam	reduceonplateau	2	768	1	1856	65	True	0.006901532533767781	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697086056/version_0	1	48	2	1	0.1052015626888067	True	128	128	65	65	4451100	1	LSTMEncoder	0		min	0.0004993871466414741	1	0.3333333333333333	0	5	loss	0.29152261280071445	4	1	1697093312.0075293	6527	0.0004993871466414741	7248.022171258926	3.0413811206817627	2.354945421218872	459	203	0.0	feasible-sweep-20
228	attentive_lstm	0.864736098353566	0.9939119020835784		0.5472418441810961	0.0002839582537487669	0.191698161744396	3	1	adam	warmupinvsqrt	2	528	1	1984	65	True	0.001161243792455492	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697086005/version_0	1	32	1	1	0.07737121058789193	True	128	128	65	65	3294400	2	LSTMEncoder	0		min	0.0002839582537487669	1	0.3333333333333333	18718	5	loss	0.5472418441810961	4	2	1697092853.9001284	11407	0.000704885776785944	6838.894831418991	0.5883592367172241	0.591823935508728	558	247	1.0	lyric-sweep-19
229	attentive_lstm	0.8614018514060293	0.9881423445207114		0.5576782689940223	3.0250034026973666e-05	0.08983753372172315	3	1	adam	None	2	1456	1	1408	65	True	0.0010717756274022452	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697085741/version_0	1	208	1	1	0.011048637196982347	True	128	128	65	65	3509800	2	LSTMEncoder	0		min	3.0250034026973666e-05	1	0.3333333333333333	0	5	loss	0.5576782689940223	4	2	1697092010.3568988	11699	0.0010717756274022452	6260.403725862503	0.10526521503925323	0.10536804795265198	675	299	1.0	laced-sweep-14
230	attentive_lstm	0.8020378289443509	0.9981657938699984		0.34605223776878546	0.0002487643391726453	0.19756481656158753	3	1	adam	reduceonplateau	2	48	1	1472	65	True	7.539371962297776e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697085563/version_0	1	320	2	1	0.13789291060974265	True	128	128	65	65	246700	1	LSTMEncoder	0		min	0.0002487643391726453	1	0.3333333333333333	0	5	loss	0.34605223776878546	4	1	1697091388.7360542	34735	7.539371962297776e-05	5818.035060167313	0.9619808197021484	0.9627093076705932	468	207	1.0	sweepy-sweep-13
231	attentive_lstm	0.9793138058755768	0.9973009157299526		0.31095876099051234	0.0005509566400652801	0.457468430367102	3	1	adam	reduceonplateau	2	80	1	1280	65	True	0.0045647851892659606	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697084902/version_0	1	288	2	1	0.13247983550230072	True	128	128	65	65	3874100	2	LSTMEncoder	0		min	0.0005509566400652801	1	0.3333333333333333	0	5	loss	0.31095876099051234	4	2	1697090438.7542565	31199	0.0005509566400652801	5529.486176490784	0.933744728565216	0.9383274912834167	702	311	0.9990000128746032	winter-sweep-12
232	attentive_lstm	0.986777214591048	0.9833267847248496		0.4563989086902086	0.0005572883073123663	0.1810366225584071	3	1	adam	reduceonplateau	2	880	1	448	65	True	0.007982564686960352	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697083758/version_0	1	112	1	1	0.0394422444668811	True	128	128	65	65	64600	3	LSTMEncoder	0		min	0.0005572883073123663	1	0.3333333333333333	0	5	loss	0.4563989086902086	4	3	1697084888.4741924	11247	0.0005572883073123663	1123.723135471344	0.3350927233695984	0.3280198276042938	684	303	1.0	earthy-sweep-10
233	attentive_lstm	0.8846244531011284	0.9861073827585712		0.4740046518216938	0.00011975467664142368	0.1409780600462971	3	1	adam	warmupinvsqrt	2	1040	1	1920	65	True	4.0628306364135414e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697083703/version_0	1	176	2	1	0.1399960987781883	True	128	128	65	65	4683000	3	LSTMEncoder	0		min	0.00011975467664142368	1	0.3333333333333333	22514	5	loss	0.4740046518216938	4	3	1697098942.8105311	13415	2.4139862051747328e-05	15232.473994255066	0.9752137064933776	0.9774439930915833	774	343	1.0	pretty-sweep-9
234	attentive_lstm	0.846242832908045	0.9961599845153624		0.7343409217137739	0.000781331562068554	0.05971302819268354	3	1	adam	reduceonplateau	2	1936	1	320	65	True	0.0038186489289516743	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697082800/version_0	1	464	1	1	0.10091438796004988	True	128	128	65	65	2889900	1	LSTMEncoder	0		min	0.000781331562068554	1	0.3333333333333333	0	5	loss	0.7343409217137739	4	1	1697083685.7414615	8703	0.000781331562068554	879.3145456314087	0.7438082098960876	0.7381683588027954	576	255	0.9990000128746032	celestial-sweep-6
235	attentive_lstm	0.817477943890878	0.9905168107055268		0.7702161589682339	0.0006999519244233816	0.38793063444036086	3	1	adam	None	2	1984	1	448	65	True	2.0883003344502172e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697082578/version_0	1	16	2	1	0.19873055616726973	True	128	128	65	65	1759900	4	LSTMEncoder	0		min	0.0006999519244233816	1	0.3333333333333333	0	5	loss	0.7702161589682339	4	4	1697085548.0022678	26399	2.0883003344502172e-05	2962.125242948532	1.3271081447601318	1.3561114072799685	1800	799	1.0	likely-sweep-5
236	attentive_lstm	0.9793376923583516	0.9892781680629148		0.2680221836588472	0.0004368149025492471	0.12200571561825536	3	1	adam	warmupinvsqrt	2	1664	1	1600	65	True	5.094415570604741e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697082485/version_0	1	32	1	1	0.05355253549669734	True	128	128	65	65	536200	2	LSTMEncoder	0		min	0.0004368149025492471	1	0.3333333333333333	2577	5	loss	0.2680221836588472	4	2	1697088084.5405447	12011	2.3634699621281496e-05	5591.879791736603	0.42710575461387634	0.42927518486976624	693	307	1.0	toasty-sweep-4
237	attentive_lstm	0.974709176172123	0.9874293699878626		0.8775234814063138	0.0004620411515575935	0.27877341517472753	3	1	adam	reduceonplateau	2	1152	1	768	65	True	8.105239468302373e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697081799/version_0	1	304	1	1	0.1583629820007513	True	128	128	65	65	1725100	4	LSTMEncoder	0		min	0.0004620411515575935	1	0.3333333333333333	0	5	loss	0.8775234814063138	4	4	1697083745.1883924	12767	8.105239468302373e-06	1938.5936074256897	1.0843907594680786	1.0865631103515625	684	303	1.0	jolly-sweep-3
238	attentive_lstm	0.996392051561224	0.9940996479261608		0.3749943909367904	0.00026740934989394544	0.06449319559015732	3	1	adam	None	2	1568	1	384	65	True	0.00011191342151091973	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697081794/version_0	1	80	1	1	0.11576004712948602	True	128	128	65	65	4659400	3	LSTMEncoder	0		min	0.00026740934989394544	1	0.3333333333333333	0	5	loss	0.3749943909367904	4	3	1697082788.0778048	9359	0.00011191342151091973	984.6570928096772	0.8313292264938354	0.830686628818512	585	259	1.0	devoted-sweep-2
