	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	val_loss	_timestamp	train_loss	trainer/global_step	_step	lr-Adam	_runtime	max_val_accuracy	name
177	transformer	0.8339685303728009	0.9826602048519096		0.8170072206161317	0.0004035126683153563	0.29128405125487866	3	1	adam	reduceonplateau	2	800	1	1984	55	True	0.0004985613243579508	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195811/version_0	6	288	8	4	0.010861232448399203	True	128	128	55	55	4438800	2	TransformerEncoder	0		min	0.0004035126683153563	1	0.3333333333333333	0	5	loss	0.8170072206161317	4	2	255	0.47989004850387573	1697197744.9586723	0.11060731112957	10239	576	0.0004035126683153563	1923.994859457016	0.8899999856948853	woven-sweep-43
178	transformer	0.8926774839527842	0.9842025381614108		0.20988723311438184	9.025959979600945e-06	0.4561826275103319	3	1	adam	reduceonplateau	2	176	1	1536	55	True	1.2590508742726933e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195771/version_0	2	192	2	8	0.017570825615597262	True	128	128	55	55	1296600	3	TransformerEncoder	0		min	9.025959979600945e-06	1	0.3333333333333333	0	5	loss	0.20988723311438184	4	3	799	1.3703231811523438	1697199034.603898	0.4763835370540619	36799	1800	9.025959979600945e-06	3253.19686293602	0.6110000014305115	effortless-sweep-42
179	transformer	0.818951723134052	0.9849438885999108		0.5419526148062837	0.0004534965511024419	0.49940144117371577	3	1	adam	None	2	208	1	1152	55	True	0.0004874770320928417	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195473/version_0	4	512	8	2	0.1415342925889545	True	128	128	55	55	2332200	3	TransformerEncoder	0		min	0.0004534965511024419	1	0.3333333333333333	0	5	loss	0.5419526148062837	4	3	695	1.352958917617798	1697200940.1146214	1.0067284107208252	27143	1566	0.0004874770320928417	5460.022330284119	0.890999972820282	noble-sweep-41
180	transformer	0.9500960894217632	0.9971754928157406		0.5334337750132682	0.0007796804517854626	0.13187853663052956	3	1	adam	reduceonplateau	2	80	1	256	55	True	1.3565633191028555e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195469/version_0	6	144	6	2	0.15415916553384837	True	128	128	55	55	3435800	2	TransformerEncoder	0		min	0.0007796804517854626	1	0.3333333333333333	0	5	loss	0.5334337750132682	4	2	799	1.257973313331604	1697200622.1080177	1.0565813779830933	79999	1800	1.3565633191028555e-05	5144.041699647903	0.8790000081062317	clean-sweep-40
181	transformer	0.9722572366898478	0.9860625498429952		0.4896718925735315	0.00030660876785572474	0.08301486460562807	3	1	adam	reduceonplateau	2	656	1	576	55	True	0.0004925981903426815	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195137/version_0	4	320	8	2	0.1369125280805793	True	128	128	55	55	2058500	3	TransformerEncoder	0		min	0.00030660876785572474	1	0.3333333333333333	0	5	loss	0.4896718925735315	4	3	443	1.1040914058685305	1697197165.3633978	0.9343119859695436	21755	999	0.00030660876785572474	2019.74218082428	0.8930000066757202	noble-sweep-39
182	transformer	0.8136297898507702	0.9982680169894912		0.7007472350125291	0.0007447164693247476	0.4755664104824951	3	1	adam	None	2	720	1	2048	55	True	0.002046001197820861	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195066/version_0	8	256	8	4	0.11982798456626438	True	128	128	55	55	2194600	5	TransformerEncoder	0		min	0.0007447164693247476	1	0.3333333333333333	0	5	loss	0.7007472350125291	4	5	215	3.991744995117187	1697197923.4648707	2.1748669147491455	7343	486	0.002046001197820861	2848.3351957798004	0.003000000026077032	ancient-sweep-38
183	transformer	0.8595592242950332	0.9916245699539574		0.4386429867404583	1.3230361103163823e-05	0.3186375509017426	3	1	adam	reduceonplateau	2	112	1	192	55	True	0.0038687324272391327	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195045/version_0	6	304	2	4	0.09884811529703556	True	128	128	55	55	788600	5	TransformerEncoder	0		min	1.3230361103163823e-05	1	0.3333333333333333	0	5	loss	0.4386429867404583	4	5	203	3.97823715209961	1697197368.390198	2.0481975078582764	14687	459	1.3230361103163823e-05	2312.863611936569	0.0	peach-sweep-37
184	transformer	0.9844783264575356	0.9936171659796148		0.4918981620222333	0.0006595958078211221	0.30034229888522784	3	1	adam	warmupinvsqrt	2	1280	1	384	55	True	2.0353807174768366e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697194875/version_0	4	112	4	2	0.06869330723178009	True	128	128	55	55	479800	1	TransformerEncoder	0		min	0.0006595958078211221	1	0.3333333333333333	1874	5	loss	0.4918981620222333	4	1	203	3.336536407470703	1697195798.7625008	2.1654841899871826	6527	459	1.0932196794805992e-06	912.606776714325	0.0	robust-sweep-36
185	transformer	0.873833238947594	0.9967990455773352		0.6220236674127414	0.00017918595126639346	0.13321733402675756	3	1	adam	warmupinvsqrt	2	1744	1	1152	55	True	0.0006206627583188058	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697194841/version_0	8	288	2	2	0.11068349101347776	True	128	128	55	55	1493800	3	TransformerEncoder	0		min	0.00017918595126639346	1	0.3333333333333333	6852	5	loss	0.6220236674127414	4	3	799	1.0518085956573486	1697200669.26826	0.7786411643028259	29599	1800	0.0002988065495858963	5816.732271909714	0.8880000114440918	clear-sweep-35
186	transformer	0.8880522987742343	0.9906373139939386		0.10648624578303344	0.0005304038904213312	0.019804123168514376	3	1	adam	None	2	1168	1	960	55	True	1.0002331539277306e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697194786/version_0	6	144	4	4	0.04810465951886871	True	128	128	55	55	526800	3	TransformerEncoder	0		min	0.0005304038904213312	1	0.3333333333333333	0	5	loss	0.10648624578303344	4	3	627	0.7699158191680908	1697197346.2069185	0.3875267207622528	34539	1413	1.0002331539277306e-05	2551.556754589081	0.8399999737739563	divine-sweep-34
