	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	trainer/global_step	_step	train_loss	lr-Adam	_runtime	val_loss	_timestamp	epoch	max_val_accuracy	name
111	transformer	0.941564708318746	0.992329378086302		0.8805642011268094	0.0004675936983918647	0.18732231465450672	3	1	adam	reduceonplateau	2	1680	1	2048	65	True	3.660283438825279e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697140449/version_0	6	48	4	8	0.14918219056991158	True	128	128	65	65	2980400	5	TransformerEncoder	0		min	0.0004675936983918647	1	0.3333333333333333	0	5	loss	0.8805642011268094	4	5	23527	1557	1.0382682085037231	3.660283438825279e-05	2540.9928057193756	1.0386537313461304	1697143002.5948768	691	0.9959999918937684	prime-sweep-131
112	transformer	0.9500792746669088	0.981712494971104		0.7338184230207793	0.0005973290845605132	0.11646306946098522	3	1	adam	reduceonplateau	2	224	1	1216	65	True	1.3214527725388258e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697140435/version_0	8	384	8	8	0.024129330770987667	True	128	128	65	65	839500	2	TransformerEncoder	0		min	0.0005973290845605132	1	0.3333333333333333	0	5	loss	0.7338184230207793	4	2	28799	1800	0.21528787910938263	1.3214527725388258e-06	8445.889765739441	0.22849798202514648	1697148900.2138207	799	0.9940000176429749	laced-sweep-130
113	transformer	0.8378606091728396	0.9847588707218689		0.589453761116764	0.000561273713922539	0.027784866467009173	3	1	adam	None	2	1184	1	320	65	True	0.003833099267396875	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697140435/version_0	6	192	2	4	0.11953786476346344	True	128	128	65	65	3223400	1	TransformerEncoder	0		min	0.000561273713922539	1	0.3333333333333333	0	5	loss	0.589453761116764	4	1	11439	468	1.3254464864730835	0.003833099267396875	1855.32919049263	2.139864444732666	1697142308.4274814	207	0.5490000247955322	fiery-sweep-127
114	transformer	0.9670379640561791	0.9870539568029704		0.23566404894614756	0.0007866514590373297	0.07026634907641943	3	1	adam	warmupinvsqrt	2	1568	1	1856	65	True	0.000139205031959177	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697140435/version_0	4	448	6	2	0.1758028257745058	True	128	128	65	65	2547900	3	TransformerEncoder	0		min	0.0007866514590373297	1	0.3333333333333333	11374	5	loss	0.23566404894614756	4	3	12383	774	1.1812134981155396	0.00013360208503114635	2866.9515261650085	1.1896142959594729	1697143320.664956	343	0.9990000128746032	stoic-sweep-128
115	transformer	0.9027401108395204	0.9808107609657754		0.7461659988582253	0.0008199563499445034	0.48939670917600286	3	1	adam	warmupinvsqrt	2	592	1	704	65	True	1.3257040018818753e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697140435/version_0	6	384	4	4	0.15892089982443502	True	128	128	65	65	4232500	1	TransformerEncoder	0		min	0.0008199563499445034	1	0.3333333333333333	28597	5	loss	0.7461659988582253	4	1	43999	1800	1.100643754005432	1.069429280123963e-05	7480.8571717739105	1.195801019668579	1697147933.9978497	799	0.9950000047683716	twilight-sweep-129
116	transformer	0.9164099529324506	0.9950865464631712		0.6021550766163386	0.0007509862671537656	0.31942590597794307	3	1	adam	warmupinvsqrt	2	848	1	576	65	True	1.1022860177550587e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697140332/version_0	8	224	6	4	0.17662729147226672	True	128	128	65	65	4445800	4	TransformerEncoder	0		min	0.0007509862671537656	1	0.3333333333333333	20970	5	loss	0.6021550766163386	4	4	30399	1800	1.1975200176239014	9.160692932639637e-06	4498.451166629791	1.2151892185211182	1697144839.6637475	799	0.9940000176429749	leafy-sweep-126
117	transformer	0.9224588450010152	0.9937574408573058		0.8412141501254353	0.0009602075515844842	0.17006861520129363	3	1	adam	None	2	832	1	896	65	True	2.0204687928540763e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697140132/version_0	4	160	4	8	0.00979899279021419	True	128	128	65	65	427900	4	TransformerEncoder	0		min	0.0009602075515844842	1	0.3333333333333333	0	5	loss	0.8412141501254353	4	4	31199	1800	0.13962307572364807	2.0204687928540763e-06	3866.620452404022	0.1651100218296051	1697144020.3318703	799	0.9679999947547911	worldly-sweep-125
118	transformer	0.8387919677350127	0.992795374099854		0.5361768096244315	0.00044535069815267826	0.10898657088305608	3	1	adam	warmupinvsqrt	2	1456	1	192	65	True	6.31552390956631e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697139997/version_0	8	480	4	8	0.038694749946346585	True	128	128	65	65	2537700	5	TransformerEncoder	0		min	0.00044535069815267826	1	0.3333333333333333	12200	5	loss	0.5361768096244315	4	5	21683	1251	0.3205936551094055	4.741442671631397e-05	4028.6587579250336	0.3268411159515381	1697144033.749637	555	0.9990000128746032	summer-sweep-123
119	transformer	0.9617912935354048	0.9833984802238658		0.8586139049503	0.00017068756792886966	0.28119368250570975	3	1	adam	None	2	2032	1	704	65	True	1.149989811266244e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697139953/version_0	6	160	4	8	0.18356773786801284	True	128	128	65	65	718400	3	TransformerEncoder	0		min	0.00017068756792886966	1	0.3333333333333333	0	5	loss	0.8586139049503	4	3	25599	1800	1.2332106828689575	1.149989811266244e-05	3702.7049763202663	1.250281810760498	1697143664.6949422	799	0.9940000176429749	honest-sweep-122
120	transformer	0.9288268707334384	0.9802409084824402		0.4608302269082427	0.0006236464481121646	0.19150497042137984	3	1	adam	warmupinvsqrt	2	1792	1	384	65	True	0.0031118484131334176	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697139920/version_0	8	416	4	2	0.06489884885714152	True	128	128	65	65	1346300	3	TransformerEncoder	0		min	0.0006236464481121646	1	0.3333333333333333	5258	5	loss	0.4608302269082427	4	3	7807	549	1.8401199579238892	0.002558883995723409	2599.480143547058	4.242871284484863	1697142537.4757764	243	0.99099999666214	frosty-sweep-121
