	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	lr-Adam	val_loss	trainer/global_step	epoch	_runtime	_timestamp	train_loss	max_val_accuracy	name
20	transformer	0.9302577324048792	0.9903998753157932		0.4877535258730384	0.0005898006920782713	0.21745096640356748	3	1	adam	None	2	1872	1	1920	42	True	0.0003115343881827102	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696020801/version_0	8	320	2	8	0.0312633297201381	True	128	128	68	42	3468100	3	TransformerEncoder	26		min	0.0005898006920782713	1	0.3333333333333333	0	5	loss	0.4877535258730384	4	3	1251	0.0003115343881827102	0.27771103382110596	23907	555	3327.133476495743	1696024136.7437065	0.2511187195777893	0.9879999756813048	skilled-sweep-203
21	transformer	0.928376382797459	0.987588463614935		0.39992528802921146	0.0002673740865411786	0.34165629606269154	3	1	adam	None	2	1488	1	512	42	True	1.197851422117777e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696020584/version_0	4	320	4	4	0.01849110981073774	True	128	128	68	42	3585800	4	TransformerEncoder	26		min	0.0002673740865411786	1	0.3333333333333333	0	5	loss	0.39992528802921146	4	4	1800	1.197851422117777e-06	0.6512925028800964	32799	799	3966.849324941635	1696024563.5210218	0.5123602151870728	0.628000020980835	silver-sweep-202
22	transformer	0.9503713624629068	0.9934699371426536		0.17002079347855076	0.0002937163957516776	0.33641479455321965	3	1	adam	reduceonplateau	2	1856	1	1728	42	True	3.002875580287828e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696019757/version_0	8	400	8	2	0.11434090978370572	True	128	128	68	42	3984600	4	TransformerEncoder	26		min	0.0002937163957516776	1	0.3333333333333333	0	5	loss	0.17002079347855076	4	4	1800	3.002875580287828e-06	0.8522360324859619	35199	799	8701.025519609451	1696028469.4393697	0.8049994707107544	0.9629999995231628	splendid-sweep-201
23	transformer	0.899669302880053	0.9813870650935858		0.6314852432811102	0.0008302758236095224	0.13169376771137786	3	1	adam	reduceonplateau	2	1280	1	1472	42	True	0.0042313875525228535	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696019396/version_0	4	80	2	4	0.10881287410163087	True	128	128	68	42	4542300	5	TransformerEncoder	26		min	0.0008302758236095224	1	0.3333333333333333	0	5	loss	0.6314852432811102	4	5	972	0.0008302758236095224	0.7602205276489258	17279	431	1367.8082349300385	1696020771.996187	0.7349733114242554	0.9860000014305116	efficient-sweep-200
24	transformer	0.800185412779974	0.9890920132085615		0.43596332396399207	0.0005176557132434811	0.030087332950866075	3	1	adam	None	2	960	1	640	42	True	0.002404819462596772	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696019036/version_0	6	448	8	2	0.0662486848265413	True	128	128	68	42	224400	2	TransformerEncoder	26		min	0.0005176557132434811	1	0.3333333333333333	0	5	loss	0.43596332396399207	4	2	846	0.002404819462596772	3.9473648071289062	15791	375	4586.852063179016	1696023631.63017	1.699971079826355	0.0020000000949949026	youthful-sweep-199
25	transformer	0.8932531166234897	0.9975173903846152		0.39496330760015264	0.00012663970800300646	0.30630627097025226	3	1	adam	None	2	1648	1	1792	42	True	1.7142086519252154e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696017663/version_0	8	192	8	2	0.08596380201555005	True	128	128	68	42	2498500	2	TransformerEncoder	26		min	0.00012663970800300646	1	0.3333333333333333	0	5	loss	0.39496330760015264	4	2	1800	1.7142086519252154e-05	0.6720466613769531	39199	799	5312.127746105194	1696022984.049077	0.6081752777099609	0.9810000061988832	glowing-sweep-198
26	transformer	0.944310597305249	0.9987860015265192		0.653396833052234	0.0004145183048339817	0.00331521905492993	3	1	adam	reduceonplateau	2	48	1	1088	42	True	0.0010892527117722338	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696016020/version_0	8	400	2	8	0.05375588408586718	True	128	128	68	42	375200	2	TransformerEncoder	26		min	0.0004145183048339817	1	0.3333333333333333	0	5	loss	0.653396833052234	4	2	1638	0.0004145183048339817	0.5163326263427734	152151	727	12118.356702566149	1696028147.0612826	0.40910008549690247	0.9760000109672546	sleek-sweep-197
27	transformer	0.9681937282128844	0.9881510817621072		0.4699813394433629	0.0008905342477428382	0.2651619764168999	3	1	adam	reduceonplateau	2	1152	1	128	42	True	0.0005565937019821918	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696015505/version_0	8	160	4	2	0.13405644426775545	True	128	128	68	42	205600	2	TransformerEncoder	26		min	0.0008905342477428382	1	0.3333333333333333	0	5	loss	0.4699813394433629	4	2	1638	0.0005565937019821918	0.9034658670425416	38583	727	4197.452938556671	1696019712.0527866	0.8803309798240662	0.9879999756813048	feasible-sweep-196
28	transformer	0.8292266883538599	0.9917108134150846		0.14074359901243474	0.0003607945726590025	0.49963910479307816	3	1	adam	reduceonplateau	2	1056	1	1664	42	True	0.0003541420375945668	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696015376/version_0	6	240	2	4	0.024379402194259204	True	128	128	68	42	823700	4	TransformerEncoder	26		min	0.0003607945726590025	1	0.3333333333333333	0	5	loss	0.14074359901243474	4	4	1476	0.0003541420375945668	0.28464657068252563	37391	655	3602.163918495178	1696018987.8538115	0.21161681413650513	0.9819999933242798	lunar-sweep-195
29	transformer	0.9665872173940072	0.9980309275432095		0.6725010238885992	0.0008674152141938837	0.1928682704146817	3	1	adam	None	2	688	1	1536	42	True	1.5713405579176856e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696015344/version_0	4	416	2	2	0.003560656678533847	True	128	128	68	42	1766300	2	TransformerEncoder	26		min	0.0008674152141938837	1	0.3333333333333333	0	5	loss	0.6725010238885992	4	2	1800	1.5713405579176856e-06	0.16685771942138672	47199	799	5388.82435131073	1696020742.1574292	0.0808195248246193	0.9559999704360962	deft-sweep-194
