	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	lr-Adam	_runtime	val_loss	train_loss	_step	epoch	_timestamp	trainer/global_step	max_val_accuracy	name
73	attentive_lstm	0.9647949198250124	0.9833708607493488		0.7353209858725206	0.0005939231430389892	0.4796501199493206	3	1	adam	warmupinvsqrt	2	1600	1	1088	55	True	0.006442220349059255	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697383556/version_0	1	464	2	1	0.09213116366738625	True	128	128	55	55	3520000	4	LSTMEncoder	0		min	0.0005939231430389892	1	0.3333333333333333	17600	5	loss	0.7353209858725206	4	4	0.003850690799551327	3483.4650321006775	1.003719449043274	0.7432438135147095	594	263	1697387047.261801	10559	0.8920000195503235	classic-sweep-236
74	attentive_lstm	0.8662413615708027	0.990335026182416		0.400714877759342	7.855363981127988e-05	0.34306068004440465	3	1	adam	None	2	1712	1	1088	55	True	0.0008790810797315554	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697383279/version_0	1	160	1	1	0.07850864652370615	True	128	128	55	55	2615100	1	LSTMEncoder	0		min	7.855363981127988e-05	1	0.3333333333333333	0	5	loss	0.400714877759342	4	1	0.0008790810797315554	4915.068513870239	0.830107569694519	0.581895112991333	927	411	1697388201.950136	15655	0.8949999809265137	silver-sweep-235
75	attentive_lstm	0.8895361422901666	0.9807934811103906		0.6156092470329304	0.0007363161703527313	0.1943882208651646	3	1	adam	None	2	1072	1	576	55	True	2.1728172244181484e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697383173/version_0	1	176	1	1	0.005476276229792455	True	128	128	55	55	4153100	4	LSTMEncoder	0		min	0.0007363161703527313	1	0.3333333333333333	0	5	loss	0.6156092470329304	4	4	2.1728172244181484e-06	6299.273109674454	0.6499317288398743	0.13989438116550446	1800	799	1697389478.4800346	47999	0.7979999780654907	exalted-sweep-234
76	attentive_lstm	0.8402202766792214	0.9904593583308292		0.8631771612731395	0.0009210190910717102	0.31360613749548644	3	1	adam	warmupinvsqrt	2	768	1	192	55	True	1.1268705621024345e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697383146/version_0	1	128	2	1	0.17448735418207503	True	128	128	55	55	3139400	3	LSTMEncoder	0		min	0.0009210190910717102	1	0.3333333333333333	12263	5	loss	0.8631771612731395	4	3	5.969298843201023e-06	817.2297286987305	3.164583683013916	2.432371139526367	459	203	1697383971.4160056	6527	0.0	vivid-sweep-233
77	attentive_lstm	0.8701157137983495	0.9847555505617308		0.5394027798246488	0.0005844455201240452	0.16658174383081575	3	1	adam	warmupinvsqrt	2	816	1	1344	55	True	2.5677205673377495e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697383093/version_0	1	112	2	1	0.19201740921869215	True	128	128	55	55	3235500	3	LSTMEncoder	0		min	0.0005844455201240452	1	0.3333333333333333	15860	5	loss	0.5394027798246488	4	3	1.3146211227479524e-06	3618.6719431877136	3.0820348262786865	2.2971267700195312	459	203	1697386720.109264	8159	0.0	absurd-sweep-232
78	attentive_lstm	0.9445145323245796	0.98742783475329		0.3922191189186712	0.0009709523066970566	0.31162420273025554	3	1	adam	reduceonplateau	2	1664	1	896	55	True	0.0009771212944999284	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697383021/version_0	1	336	1	1	0.0011307481553957555	True	128	128	55	55	3135500	3	LSTMEncoder	0		min	0.0009709523066970566	1	0.3333333333333333	0	5	loss	0.3922191189186712	4	3	0.0009709523066970566	6762.580434799194	0.5077211260795593	0.014176376163959503	1125	499	1697389791.6402488	19499	0.8989999890327454	toasty-sweep-231
79	attentive_lstm	0.8038536977917934	0.9892057102889406		0.14151308691436376	0.00018669295253109463	0.4899428612229875	3	1	adam	reduceonplateau	2	1744	1	1088	55	True	9.32697501187192e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697382898/version_0	1	240	2	1	0.05140700204322393	True	128	128	55	55	1323500	3	LSTMEncoder	0		min	0.00018669295253109463	1	0.3333333333333333	0	5	loss	0.14151308691436376	4	3	9.32697501187192e-05	6710.6624965667725	0.6779311895370483	0.4075013995170593	774	343	1697389617.8895376	12727	0.8989999890327454	serene-sweep-230
80	attentive_lstm	0.9720978694851918	0.9858700355901724		0.11349932935184502	0.0009541362590349016	0.15430634778296515	3	1	adam	reduceonplateau	2	192	1	1856	55	True	0.0007195304598609471	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697382559/version_0	1	352	2	1	0.009241110152373055	True	128	128	55	55	3597300	2	LSTMEncoder	0		min	0.0009541362590349016	1	0.3333333333333333	0	5	loss	0.11349932935184502	4	2	0.0007195304598609471	18557.13283252716	0.5155500769615173	0.08941462635993958	1350	599	1697401127.5279326	25199	0.8939999938011169	fallen-sweep-229
81	attentive_lstm	0.8765528872028872	0.9976402397565836		0.32387757986856425	0.0007670645944881971	0.2986136974366395	3	1	adam	reduceonplateau	2	928	1	1280	55	True	8.54192156371517e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697382194/version_0	1	448	2	1	0.06552267951388602	True	128	128	55	55	2571000	1	LSTMEncoder	0		min	0.0007670645944881971	1	0.3333333333333333	0	5	loss	0.32387757986856425	4	1	8.54192156371517e-05	6988.80250787735	0.7043447494506836	0.5000786185264587	603	267	1697389190.705263	9379	0.8939999938011169	faithful-sweep-228
82	attentive_lstm	0.8452734262902392	0.9931691699569578		0.4257768084887251	4.61404487855098e-05	0.3945580022787267	3	1	adam	None	2	1328	1	1984	55	True	0.0031524023476402502	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697382092/version_0	1	448	2	1	0.0989295204792094	True	128	128	55	55	2723600	5	LSTMEncoder	0		min	4.61404487855098e-05	1	0.3333333333333333	0	5	loss	0.4257768084887251	4	5	0.0031524023476402502	8404.113595485687	1.010483741760254	0.7940224409103394	549	243	1697390503.2535365	11955	0.8820000290870667	serene-sweep-227
