	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_timestamp	trainer/global_step	_step	lr-Adam	val_loss	train_loss	epoch	_runtime	max_val_accuracy	name
43	attentive_lstm	0.8578658492331354	0.9883910842218484		0.33246934319058286	0.0008174528001671209	0.4861166650829444	3	1	adam	warmupinvsqrt	2	144	1	1984	61	True	1.387282155181514e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693767516/version_0	1	320	1	1	0.04209120845735579	True	128	128	100	61	3425900	2	LSTMEncoder	39		min	0.0008174528001671209	1	0.3333333333333333	23790	5	loss	0.33246934319058286	4	2	1693790851.0079105	36959	1188	1.1140577221636144e-05	0.5003583431243896	0.3578394651412964	527	23326.7829914093	0.8700000047683716	spring-sweep-216
44	attentive_lstm	0.8726582281169095	0.9981243449218355		0.415778480156744	0.0003833644507254996	0.03761182735297974	3	1	adam	None	2	672	1	1664	61	True	0.004325205446212571	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693766737/version_0	1	512	2	1	0.08549693164595495	True	128	128	100	61	1566700	4	LSTMEncoder	39		min	0.0003833644507254996	1	0.3333333333333333	0	5	loss	0.415778480156744	4	4	1693779053.3637075	10319	774	0.004325205446212571	0.7887231111526489	0.6524373292922974	343	12310.85418844223	0.8840000033378601	daily-sweep-215
45	attentive_lstm	0.8651875708875713	0.9816400129466076		0.7368323226284249	3.918125063774702e-05	0.31267952137759103	3	1	adam	None	2	1984	1	1344	61	True	1.8314250194050672e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693766692/version_0	1	64	1	1	0.14059053151256654	True	128	128	100	61	3715700	4	LSTMEncoder	39		min	3.918125063774702e-05	1	0.3333333333333333	0	5	loss	0.7368323226284249	4	4	1693771299.0509377	4283	459	1.8314250194050672e-06	2.725299596786499	2.6098132133483887	203	4599.435354709625	0.0	worthy-sweep-214
46	attentive_lstm	0.9524173168907332	0.9828273472620136		0.5314002011231855	0.00012408501075133636	0.4550626554597019	3	1	adam	reduceonplateau	2	1328	1	64	61	True	3.2088202710573576e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693766612/version_0	1	176	1	1	0.19839601325933287	True	128	128	100	61	2586800	4	LSTMEncoder	39		min	0.00012408501075133636	1	0.3333333333333333	0	5	loss	0.5314002011231855	4	4	1693769085.033486	24799	1800	3.2088202710573576e-05	1.5518381595611572	1.598031759262085	799	2465.4891180992126	0.671999990940094	fresh-sweep-213
47	attentive_lstm	0.8671873449073884	0.9976392687992142		0.3626654985160947	0.00015423362791184756	0.19243595375812267	3	1	adam	None	2	1440	1	704	61	True	0.0031252126542071212	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693766019/version_0	1	320	1	1	0.07441474906154899	True	128	128	100	61	4808300	3	LSTMEncoder	39		min	0.00015423362791184756	1	0.3333333333333333	0	5	loss	0.3626654985160947	4	3	1693771346.2028878	9155	981	0.0031252126542071212	0.890074610710144	0.6745190620422363	435	5320.364840745926	0.8740000128746033	super-sweep-212
48	attentive_lstm	0.98850997555913	0.9953900791504668		0.7998351534517528	0.0005285924156520268	0.286183377357876	3	1	adam	None	2	1728	1	1856	61	True	2.530055575036727e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693704996/version_0	1	384	1	1	0.1543585641842623	True	128	128	100	61	3626200	3	LSTMEncoder	39		min	0.0005285924156520268	1	0.3333333333333333	0	5	loss	0.7998351534517528	4	3	1693731809.018992	16031	1503	2.530055575036727e-05	1.1333448886871338	1.0538960695266724	667	26804.86046385765	0.878000020980835	gallant-sweep-211
49	attentive_lstm	0.992129487772725	0.9931620147990124		0.8489169331909746	0.00048190894205431386	0.40429236620496384	3	1	adam	None	2	976	1	1344	61	True	0.003097427917934788	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693703029/version_0	1	368	2	1	0.09933956488417542	True	128	128	100	61	412600	1	LSTMEncoder	39		min	0.00048190894205431386	1	0.3333333333333333	0	5	loss	0.8489169331909746	4	1	1693713413.450799	8567	918	0.003097427917934788	1.0967833995819092	0.771171510219574	407	10377.024544000626	0.8700000047683716	electric-sweep-210
50	attentive_lstm	0.985368047566558	0.9934552012486272		0.2978862074647438	0.0003671352629869973	0.27065320605641735	3	1	adam	None	2	1504	1	1536	61	True	0.0017866703269656516	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693703001/version_0	1	48	1	1	0.12459967487852536	True	128	128	100	61	2194100	5	LSTMEncoder	39		min	0.0003671352629869973	1	0.3333333333333333	0	5	loss	0.2978862074647438	4	5	1693711733.0395346	9071	756	0.0017866703269656516	0.9758421182632446	0.8820100426673889	335	8724.013712644577	0.878000020980835	colorful-sweep-209
51	attentive_lstm	0.823514025353506	0.9897063611431544		0.2321452297632901	0.00036808546757662855	0.07286187680834294	3	1	adam	None	2	1136	1	512	61	True	4.300054259040074e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693702332/version_0	1	112	2	1	0.19539527669132375	True	128	128	100	61	3609600	2	LSTMEncoder	39		min	0.00036808546757662855	1	0.3333333333333333	0	5	loss	0.2321452297632901	4	2	1693707150.157663	28799	1800	4.300054259040074e-06	1.3950934410095217	1.3394434452056885	799	4810.269936323166	0.8510000109672546	ruby-sweep-208
52	attentive_lstm	0.9194824819177364	0.995628407585738		0.2387775914272603	0.0006584381940898756	0.4559332734309772	3	1	adam	None	2	1616	1	512	61	True	0.004291223629018505	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693699915/version_0	1	48	1	1	0.1985906729165426	True	128	128	100	61	3779100	4	LSTMEncoder	39		min	0.0006584381940898756	1	0.3333333333333333	0	5	loss	0.2387775914272603	4	4	1693701239.4193797	6699	603	0.004291223629018505	3.765664339065552	3.0289621353149414	267	1316.3378047943115	0.8769999742507935	flowing-sweep-207
53	attentive_lstm	0.8316780254907333	0.9885920219210966		0.8241943947860803	0.000871041395735119	0.0129786053838028	3	1	adam	None	2	1584	1	1216	61	True	0.0064670119541443815	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693697182/version_0	1	32	2	1	0.03458302989102302	True	128	128	100	61	1983800	2	LSTMEncoder	39		min	0.000871041395735119	1	0.3333333333333333	0	5	loss	0.8241943947860803	4	2	1693710927.0656056	9463	819	0.0064670119541443815	0.44641441106796265	0.2984852194786072	363	13738.377343654633	0.8650000095367432	solar-sweep-206
54	attentive_lstm	0.8694585375286955	0.9939427877696412		0.5562252118018375	0.0008047690204018375	0.4321469125815513	3	1	adam	reduceonplateau	2	2016	1	960	61	True	2.1279033731931416e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693696172/version_0	1	64	2	1	0.13387792979846003	True	128	128	100	61	4896300	3	LSTMEncoder	39		min	0.0008047690204018375	1	0.3333333333333333	0	5	loss	0.5562252118018375	4	3	1693698975.4312105	4079	459	2.1279033731931416e-06	2.849483013153076	2.751581907272339	203	2795.1934912204742	0.0	serene-sweep-205
55	attentive_lstm	0.8008431846579138	0.9878603975809404		0.4885333223539775	0.0009721750446030352	0.22491356829224485	3	1	adam	warmupinvsqrt	2	1056	1	832	61	True	1.0382992426671822e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693695395/version_0	1	384	1	1	0.15830095864052404	True	128	128	100	61	1364900	2	LSTMEncoder	39		min	0.0009721750446030352	1	0.3333333333333333	3877	5	loss	0.4885333223539775	4	2	1693708861.302243	22155	1719	4.346194619497415e-06	1.174696922302246	1.1018089056015017	763	13457.776006937029	0.8730000257492065	stilted-sweep-204
56	attentive_lstm	0.8441972466070365	0.9906740220263952		0.3226266114544549	5.3287696013645366e-05	0.3387436337278527	3	1	adam	warmupinvsqrt	2	1248	1	1728	61	True	1.5481153451050445e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693694473/version_0	1	144	2	1	0.1160855898500315	True	128	128	100	61	1087000	2	LSTMEncoder	39		min	5.3287696013645366e-05	1	0.3333333333333333	2612	5	loss	0.3226266114544549	4	2	1693702594.7442608	5099	459	1.1106363373731496e-06	2.6700644493103027	2.466183662414551	203	8114.484382867813	0.0	blooming-sweep-203
57	attentive_lstm	0.8783944373775263	0.9891883561510392		0.2834901395878025	0.0001187853162197646	0.06045662302383159	3	1	adam	reduceonplateau	2	1168	1	512	61	True	2.179399565416656e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693694356/version_0	1	304	2	1	0.17892959491420435	True	128	128	100	61	2766100	2	LSTMEncoder	39		min	0.0001187853162197646	1	0.3333333333333333	0	5	loss	0.2834901395878025	4	2	1693699187.1645088	27999	1800	2.179399565416656e-06	1.3348255157470703	1.269822597503662	799	4824.278356790543	0.8320000171661377	amber-sweep-202
58	attentive_lstm	0.8650976436483301	0.9942508682934073		0.7084962254891278	0.0002096697239862709	0.175619758762319	3	1	adam	warmupinvsqrt	2	1680	1	1536	61	True	0.0067049166608314	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693693820/version_0	1	416	2	1	0.06147322481938647	True	128	128	100	61	4569600	2	LSTMEncoder	39		min	0.0002096697239862709	1	0.3333333333333333	10880	5	loss	0.7084962254891278	4	2	1693710829.643014	7199	675	0.0044222869446807105	0.6730284094810486	0.5276442170143127	299	17002.491457939148	0.8899999856948853	swift-sweep-201
59	attentive_lstm	0.9368131346820144	0.9849086935453366		0.150152489838979	0.00034716353970832653	0.21612968765406715	3	1	adam	reduceonplateau	2	384	1	1472	61	True	0.00020215645985103352	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693692940/version_0	1	240	2	1	0.06153569048085723	True	128	128	100	61	1046000	2	LSTMEncoder	39		min	0.00034716353970832653	1	0.3333333333333333	0	5	loss	0.150152489838979	4	2	1693717647.466325	21599	1800	0.00020215645985103352	0.5900137424468994	0.4773768484592438	799	24698.817153930664	0.8939999938011169	summer-sweep-200
60	attentive_lstm	0.8043143565503018	0.9976198070328102		0.6004792242190866	0.000354295653318912	0.11505768898402768	3	1	adam	reduceonplateau	2	1856	1	1600	61	True	1.4534776564250957e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693691946/version_0	1	112	1	1	0.11227715147358078	True	128	128	100	61	2310500	2	LSTMEncoder	39		min	0.000354295653318912	1	0.3333333333333333	0	5	loss	0.6004792242190866	4	2	1693765703.9901686	17599	1800	1.4534776564250957e-05	0.8853271007537842	0.8207373023033142	799	73750.81593751907	0.8659999966621399	dark-sweep-199
61	attentive_lstm	0.8834696477228559	0.9855015127654008		0.5554270077054001	0.0009443162548631008	0.07758157251549874	3	1	adam	warmupinvsqrt	2	800	1	1600	61	True	0.005259760511593726	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693691628/version_0	1	288	1	1	0.03840996100415477	True	128	128	100	61	3540700	3	LSTMEncoder	39		min	0.0009443162548631008	1	0.3333333333333333	8851	5	loss	0.5554270077054001	4	3	1693702633.132114	8499	765	0.005036320227743399	3.700783014297486	2.06905460357666	339	10995.00183391571	0.8820000290870667	rural-sweep-195
62	attentive_lstm	0.9978201153618926	0.9968343713870302		0.624697756613822	0.0005897706335151403	0.29287729796687373	3	1	adam	None	2	1824	1	704	61	True	0.005225994004417329	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693691563/version_0	1	496	2	1	0.19242028861763247	True	128	128	100	61	2903600	2	LSTMEncoder	39		min	0.0005897706335151403	1	0.3333333333333333	0	5	loss	0.624697756613822	4	2	1693695383.3310063	5807	594	0.005225994004417329	2.8962225914001465	2.002542018890381	263	3813.053929567337	0.8370000123977661	atomic-sweep-194
