	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	val_loss	train_loss	epoch	lr-Adam	_runtime	_timestamp	trainer/global_step	max_val_accuracy	name
32	transformer	0.8897716719490689	0.9852616584211364		0.5130896972357627	0.0007481276930319108	0.11252195910107216	3	1	adam	warmupinvsqrt	2	16	1	1024	59	True	0.00023129919622502085	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694491360/version_0	8	448	2	2	0.07712925984923642	True	128	128	82	59	3930100	3	TransformerEncoder	23		min	0.0007481276930319108	1	0.3333333333333333	245631	5	loss	0.5130896972357627	4	3	900	0.6505067944526672	0.5947763919830322	399	0.0002295563206509525	12494.485882282255	1694503861.3278973	249999	0.9670000076293944	polar-sweep-215
33	transformer	0.8781424841718766	0.9960013851217784		0.3354755441320153	0.0006956641441099431	0.14092523704392695	3	1	adam	warmupinvsqrt	2	928	1	832	59	True	0.0032330266199085676	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694490849/version_1	6	160	2	8	0.031638902555682094	True	128	128	82	59	2010900	3	TransformerEncoder	23		min	0.0006956641441099431	1	0.3333333333333333	4333	5	loss	0.3354755441320153	4	3	1602	0.3025737404823303	0.2668529152870178	711	0.0017016000287654518	2040.049124956131	1694492897.180438	15663	0.9819999933242798	valiant-sweep-214
34	transformer	0.8373377197435713	0.9821949537769536		0.24322705550754753	8.626902299485374e-05	0.3000468516583342	3	1	adam	warmupinvsqrt	2	208	1	1088	59	True	0.0008233860956229041	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694490849/version_0	8	64	2	8	0.09804025595698014	True	128	128	82	59	2687300	1	TransformerEncoder	23		min	8.626902299485374e-05	1	0.3333333333333333	12919	5	loss	0.24322705550754753	4	1	1800	0.7493361830711365	0.718468189239502	799	0.00047298410732648166	4473.1962468624115	1694495328.1247728	39199	0.9819999933242798	graceful-sweep-213
35	transformer	0.8762223034698693	0.9829072803015018		0.4332695360554697	0.0003165811750151329	0.1517395830249582	3	1	adam	None	2	1312	1	1216	59	True	1.410866154401348e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694490549/version_0	6	400	6	4	0.17782037413665783	True	128	128	82	59	2614600	5	TransformerEncoder	23		min	0.0003165811750151329	1	0.3333333333333333	0	5	loss	0.4332695360554697	4	5	1800	1.3441872596740725	1.235211968421936	799	1.410866154401348e-06	5344.968515634537	1694495900.3922367	24799	0.8960000276565552	crimson-sweep-212
36	transformer	0.8019714044927654	0.9981928541894528		0.8971071839259744	0.0004443003244795422	0.26211282333591895	3	1	adam	None	2	1104	1	320	59	True	1.066471541321623e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694490278/version_0	6	432	6	2	0.04408863178023468	True	128	128	82	59	3330600	3	TransformerEncoder	23		min	0.0004443003244795422	1	0.3333333333333333	0	5	loss	0.8971071839259744	4	3	1800	0.4358234405517578	0.37935107946395874	799	1.066471541321623e-05	4291.747030973434	1694494577.872399	22399	0.9649999737739564	devoted-sweep-211
37	transformer	0.9205794296618344	0.998725838558714		0.7935098812707777	0.000681942193088474	0.24117688240547996	3	1	adam	warmupinvsqrt	2	848	1	896	59	True	0.0028851466094603753	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694490193/version_0	6	96	4	8	0.039080044745676015	True	128	128	82	59	1999800	5	TransformerEncoder	23		min	0.000681942193088474	1	0.3333333333333333	4716	5	loss	0.7935098812707777	4	5	1116	0.3584911823272705	0.32523462176322937	495	0.0018178019489987216	1351.705828666687	1694491551.228325	11903	0.9800000190734864	frosty-sweep-210
38	transformer	0.9484272881889162	0.9805538104894724		0.3968738061305204	0.0001362290620199341	0.3087532119785525	3	1	adam	None	2	1744	1	1344	59	True	0.0015748053522394911	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694489799/version_0	6	304	8	2	0.023016555017197904	True	128	128	82	59	4988200	2	TransformerEncoder	23		min	0.0001362290620199341	1	0.3333333333333333	0	5	loss	0.3968738061305204	4	2	1800	0.27848953008651733	0.220840185880661	799	0.0015748053522394911	4292.56569647789	1694494098.8081615	18399	0.975000023841858	deep-sweep-209
39	transformer	0.9718880028220364	0.9854991718938844		0.30324807001650217	0.0008232329542807777	0.017618009748388563	3	1	adam	None	2	400	1	704	59	True	2.2184827439088685e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694489678/version_0	4	144	8	8	0.13410707609427774	True	128	128	82	59	1327500	4	TransformerEncoder	23		min	0.0008232329542807777	1	0.3333333333333333	0	5	loss	0.30324807001650217	4	4	1800	0.984011709690094	0.9266704320907592	799	2.2184827439088685e-05	2513.571644306183	1694492198.6172304	19999	0.9660000205039978	quiet-sweep-208
40	transformer	0.8868460057267884	0.9818655919590104		0.4714105005444604	0.0007603537155649366	0.28363353478994496	3	1	adam	None	2	240	1	832	59	True	1.1575418836873242e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694489647/version_0	8	384	6	4	0.09361297052559116	True	128	128	82	59	259700	5	TransformerEncoder	23		min	0.0007603537155649366	1	0.3333333333333333	0	5	loss	0.4714105005444604	4	5	1800	1.1735491752624512	0.8553960919380188	799	1.1575418836873242e-06	9440.068131923676	1694499093.6479108	33599	0.7549999952316284	tough-sweep-207
41	transformer	0.9525352236360912	0.9808970849927924		0.11659383223488716	0.0006434957638441549	0.36855664235963065	3	1	adam	reduceonplateau	2	1472	1	256	59	True	0.0001727746588034496	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694489377/version_0	4	256	4	8	0.11562532652333722	True	128	128	82	59	3386000	1	TransformerEncoder	23		min	0.0006434957638441549	1	0.3333333333333333	0	5	loss	0.11659383223488716	4	1	1503	0.8866336345672607	0.8271069526672363	667	0.0001727746588034496	1949.154898881912	1694491333.184891	18703	0.977999985218048	electric-sweep-206
42	transformer	0.8199429385348632	0.995565562635038		0.353069390382448	0.0009128483984219558	0.27603627435083017	3	1	adam	None	2	656	1	1728	59	True	0.00017996335623657485	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694488840/version_0	2	448	8	2	0.021311315909510277	True	128	128	82	59	852400	3	TransformerEncoder	23		min	0.0009128483984219558	1	0.3333333333333333	0	5	loss	0.353069390382448	4	3	1359	0.2610437870025635	0.19570837914943695	603	0.00017996335623657485	3337.532265663147	1694492184.7439506	18723	0.9769999980926514	breezy-sweep-205
43	transformer	0.9105432526841218	0.9927548568016632		0.5490703880086287	2.1518171999562618e-06	0.24371029932847188	3	1	adam	None	2	1712	1	384	59	True	0.0036675702245290505	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694488747/version_0	2	80	2	4	0.14422167198450778	True	128	128	82	59	1744800	3	TransformerEncoder	23		min	2.1518171999562618e-06	1	0.3333333333333333	0	5	loss	0.5490703880086287	4	3	1800	1.0492072105407717	1.0244196653366089	799	0.0036675702245290505	1398.0493280887604	1694490151.382931	19199	0.962000012397766	sparkling-sweep-204
44	transformer	0.9781117849893924	0.9919041346045		0.7271811344895394	0.00026219191122930994	0.15295654185496604	3	1	adam	None	2	1408	1	704	59	True	3.49670573757276e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694488513/version_0	2	128	8	2	0.08033130217415803	True	128	128	82	59	2803700	1	TransformerEncoder	23		min	0.00026219191122930994	1	0.3333333333333333	0	5	loss	0.7271811344895394	4	1	1800	0.6683731079101562	0.6156963109970093	799	3.49670573757276e-05	1977.5929839611051	1694490497.149758	23199	0.9649999737739564	confused-sweep-203
45	transformer	0.9905379570661468	0.9837586469029742		0.4519228856448235	0.0007264021872026111	0.19407927689444787	3	1	adam	reduceonplateau	2	1664	1	1472	59	True	0.002280638285649774	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694488422/version_0	4	432	2	2	0.15565317415267066	True	128	128	82	59	4204700	1	TransformerEncoder	23		min	0.0007264021872026111	1	0.3333333333333333	0	5	loss	0.4519228856448235	4	1	630	3.7527902126312256	2.5098915100097656	279	0.0007264021872026111	2379.5531346797943	1694490809.4051027	6999	0.0010000000474974513	hopeful-sweep-202
46	transformer	0.9174521424380856	0.998586358236868		0.4174441592630104	2.161166626422103e-05	0.010857372530567733	3	1	adam	warmupinvsqrt	2	1152	1	1152	59	True	0.002187872871086105	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694488279/version_0	4	32	8	8	0.14021211743142822	True	128	128	82	59	221600	3	TransformerEncoder	23		min	2.161166626422103e-05	1	0.3333333333333333	577	5	loss	0.4174441592630104	4	3	1611	0.9982649683952332	0.9661571383476256	715	0.0003782466469405628	1937.285965681076	1694490224.3465648	19331	0.977999985218048	denim-sweep-201
47	transformer	0.8847709742982032	0.987293921616992		0.7571501583292396	0.0005939606679449302	0.11362741215190396	3	1	adam	reduceonplateau	2	144	1	192	59	True	0.003263523424393693	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694487858/version_0	8	512	8	4	0.05554766177630628	True	128	128	82	59	4601500	2	TransformerEncoder	23		min	0.0005939606679449302	1	0.3333333333333333	0	5	loss	0.7571501583292396	4	2	495	3.0897250175476074	2.2935898303985596	219	0.0005939606679449302	3637.4361441135406	1694491501.350942	15399	0.0010000000474974513	lunar-sweep-200
48	transformer	0.910625583727221	0.995849942097051		0.22978064251670471	0.0007364084221368081	0.1332194638550379	3	1	adam	reduceonplateau	2	1328	1	1152	59	True	0.0076245247445068465	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694487588/version_0	6	96	4	4	0.08247448773793231	True	128	128	82	59	4124000	2	TransformerEncoder	23		min	0.0007364084221368081	1	0.3333333333333333	0	5	loss	0.22978064251670471	4	2	1467	0.6731431484222412	0.6172477602958679	651	0.0007364084221368081	3238.703696012497	1694490832.331566	20211	0.975000023841858	super-sweep-199
49	transformer	0.8098089439410797	0.987919061155651		0.7928341523193541	0.0004119339240675712	0.2186390656557204	3	1	adam	None	2	608	1	1408	59	True	0.00022838326243253184	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694487558/version_0	6	496	2	2	0.002996161795533081	True	128	128	82	59	1459300	3	TransformerEncoder	23		min	0.0004119339240675712	1	0.3333333333333333	0	5	loss	0.7928341523193541	4	3	1449	0.098876953125	0.035929493606090546	643	0.00022838326243253184	3898.545654296875	1694491461.9978783	21251	0.9810000061988832	summer-sweep-198
