	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	epoch	lr-Adam	_timestamp	train_loss	_runtime	val_loss	trainer/global_step	max_val_accuracy	name
10	attentive_lstm	0.8912493892980814	0.9907488971121098		0.4792302884106151	5.2930409120149735e-05	0.12671333914717492	3	1	adam	None	2	1888	1	448	50	True	0.0001857375188061761	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695846541/version_0	1	448	1	1	0.11856052611773972	True	128	128	83	50	2462500	3	LSTMEncoder	33		min	5.2930409120149735e-05	1	0.3333333333333333	0	5	loss	0.4792302884106151	4	3	1125	499	0.0001857375188061761	1695848892.0132406	0.8141511678695679	2343.476471662522	0.9197301268577576	21499	0.962000012397766	chocolate-sweep-208
11	attentive_lstm	0.8637535568798024	0.9966847919048692		0.45742363326898905	3.803184588491193e-05	0.34989129595614693	3	1	adam	None	2	1488	1	960	50	True	0.0001549566286965816	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695846510/version_0	1	240	2	1	0.011450414064299676	True	128	128	83	50	4713900	5	LSTMEncoder	33		min	3.803184588491193e-05	1	0.3333333333333333	0	5	loss	0.45742363326898905	4	5	1800	799	0.0001549566286965816	1695862628.7511542	0.1076747551560402	16110.360924243929	0.17035603523254397	32799	0.9710000157356262	noble-sweep-207
12	attentive_lstm	0.965224825903104	0.982580167243308		0.31292271745003397	0.0006738566810101041	0.26966960821587005	3	1	adam	warmupinvsqrt	2	1104	1	1152	50	True	5.568777006491645e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695845882/version_0	1	464	2	1	0.0015736213317460335	True	128	128	83	50	696800	4	LSTMEncoder	33		min	0.0006738566810101041	1	0.3333333333333333	3786	5	loss	0.31292271745003397	4	4	1800	799	1.634539416571779e-05	1695859899.842076	0.017673790454864502	14011.181408166884	0.1571795493364334	43999	0.9700000286102296	sweepy-sweep-205
13	attentive_lstm	0.9532237778654692	0.9854968921257168		0.4199480685539024	0.0002902360751663293	0.16505577885936443	3	1	adam	reduceonplateau	2	992	1	512	50	True	7.605851115590872e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695845541/version_0	1	272	2	1	0.15514776613280146	True	128	128	83	50	3927800	4	LSTMEncoder	33		min	0.0002902360751663293	1	0.3333333333333333	0	5	loss	0.4199480685539024	4	4	1800	799	7.605851115590872e-06	1695852182.213392	1.0373008251190186	6622.002423048019	1.0911048650741575	32799	0.953000009059906	driven-sweep-204
14	attentive_lstm	0.8947540548172607	0.9974228834280549		0.23160930060806584	0.00031206818778155905	0.4777079119121627	3	1	adam	None	2	1664	1	1152	50	True	0.0007894639175683588	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695844006/version_0	1	384	2	1	0.1907189480345325	True	128	128	83	50	1897800	3	LSTMEncoder	33		min	0.00031206818778155905	1	0.3333333333333333	0	5	loss	0.23160930060806584	4	3	1224	543	0.0007894639175683588	1695858818.8114593	1.2164194583892822	14806.055146217346	1.2496737241744995	26655	0.9710000157356262	smart-sweep-202
15	attentive_lstm	0.8554378597332492	0.9807880572046344		0.7918905905045804	0.0002790569249556192	0.3516379584494101	3	1	adam	None	2	1632	1	320	50	True	5.6902772294616846e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695842755/version_0	1	336	1	1	0.0021476002877597543	True	128	128	83	50	306200	4	LSTMEncoder	33		min	0.0002790569249556192	1	0.3333333333333333	0	5	loss	0.7918905905045804	4	4	1800	799	5.6902772294616846e-05	1695845865.3137028	0.025126809254288673	3100.5037999153137	0.1755155324935913	39999	0.9639999866485596	distinctive-sweep-196
16	attentive_lstm	0.9457606286013328	0.9825750811480228		0.5007828100998121	0.0007751878472433534	0.16528494876727817	3	1	adam	None	2	1392	1	768	50	True	4.6245802555100944e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695842264/version_0	1	144	2	1	0.09336117984904568	True	128	128	83	50	3139600	3	LSTMEncoder	33		min	0.0007751878472433534	1	0.3333333333333333	0	5	loss	0.5007828100998121	4	3	1044	463	4.6245802555100944e-05	1695846520.5932531	0.6657500267028809	4249.176626205444	0.7631940841674805	20415	0.9649999737739564	cosmic-sweep-195
17	attentive_lstm	0.8601677634119039	0.9940134118211494		0.3075962020163351	0.0002888345248786918	0.05520318010830727	3	1	adam	warmupinvsqrt	2	1760	1	576	50	True	2.975073121939242e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695842143/version_0	1	192	2	1	0.017748264525462056	True	128	128	83	50	3603100	2	LSTMEncoder	33		min	0.0002888345248786918	1	0.3333333333333333	16377	5	loss	0.3075962020163351	4	2	1800	799	1.9859234927559e-05	1695847489.506198	0.15727290511131287	5340.050966978073	0.23834165930747983	36799	0.9629999995231628	balmy-sweep-194
18	attentive_lstm	0.9185494814042734	0.98006027406059		0.5698822513752214	0.0004017551318108461	0.4541114190053964	3	1	adam	None	2	1952	1	1664	50	True	0.0054828406300744615	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695841865/version_0	1	384	1	1	0.09514204042667011	True	128	128	83	50	1310600	3	LSTMEncoder	33		min	0.0004017551318108461	1	0.3333333333333333	0	5	loss	0.5698822513752214	4	3	585	259	0.0054828406300744615	1695849642.5949488	1.2131212949752808	7770.2436356544495	1.8282283544540403	10659	0.9300000071525574	dauntless-sweep-193
19	attentive_lstm	0.8183535745057098	0.9807294025898812		0.73520770278036	0.0006108669677389096	0.29339765301647797	3	1	adam	None	2	640	1	832	50	True	1.026023452786971e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695841437/version_0	1	128	1	1	0.053427525923385205	True	128	128	83	50	3212900	1	LSTMEncoder	33		min	0.0006108669677389096	1	0.3333333333333333	0	5	loss	0.73520770278036	4	1	1800	799	1.026023452786971e-05	1695849449.9964402	0.4233761727809906	8006.737481117248	0.5943440794944763	50399	0.9539999961853028	amber-sweep-192
