	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	_runtime	_timestamp	_step	lr-Adam	val_loss	train_loss	trainer/global_step	max_val_accuracy	name
149	transformer	0.8066978527974162	0.9868602135940692		0.35421985038755277	0.00015258757323463425	0.23878486242854152	3	1	adam	warmupinvsqrt	2	1552	1	1664	61	True	0.00702194315165298	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693724580/version_0	2	400	2	4	0.06192272712432217	True	128	128	100	61	1591700	5	TransformerEncoder	39		min	0.00015258757323463425	1	0.3333333333333333	4102	5	loss	0.35421985038755277	4	5	247	1200.5465042591095	1693725787.9810743	558	0.005612030033910776	0.8351342678070068	0.6636064648628235	6447	0.8399999737739563	spring-sweep-70
150	transformer	0.9917453901737388	0.995057164787328		0.5746853312956876	0.0004545841904141883	0.37332104029182966	3	1	adam	reduceonplateau	2	1024	1	1984	61	True	4.1534432690189e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693723552/version_0	8	496	6	4	0.13840685646511466	True	128	128	100	61	309700	3	TransformerEncoder	39		min	0.0004545841904141883	1	0.3333333333333333	0	5	loss	0.5746853312956876	4	3	799	9751.392405033112	1693733311.526303	1800	4.1534432690189e-06	1.1815249919891355	1.049581527709961	15999	0.8149999976158142	proud-sweep-69
151	transformer	0.9819341251100272	0.997701061291842		0.6031257223339522	0.00028859508603985287	0.050653167163528634	3	1	adam	None	2	1760	1	1280	61	True	0.0005407575692724775	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693723453/version_0	6	160	2	4	0.07176887308177164	True	128	128	100	61	1910900	5	TransformerEncoder	39		min	0.00028859508603985287	1	0.3333333333333333	0	5	loss	0.6031257223339522	4	5	255	1109.1473171710968	1693724569.3484125	576	0.0005407575692724775	0.6751564741134644	0.5482136607170105	5887	0.8640000224113464	pretty-sweep-68
152	transformer	0.8908425555468392	0.990707827103772		0.4689114013050995	0.0006707989371939106	0.4423478823769007	3	1	adam	None	2	912	1	2048	61	True	0.00976382728036866	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693723376/version_0	6	416	6	2	0.019941071655927824	True	128	128	100	61	1298100	4	TransformerEncoder	39		min	0.0006707989371939106	1	0.3333333333333333	0	5	loss	0.4689114013050995	4	4	203	5197.896399259567	1693728582.8739944	459	0.00976382728036866	3.5714476108551025	2.9293417930603027	4487	0.0	leafy-sweep-67
153	transformer	0.9871514559193948	0.9848076570661676		0.1257873722471035	0.000651816963039532	0.2773785208346761	3	1	adam	reduceonplateau	2	1344	1	1024	61	True	0.0006478370125067274	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693723328/version_0	2	112	8	4	0.06557983230074836	True	128	128	100	61	3837800	4	TransformerEncoder	39		min	0.000651816963039532	1	0.3333333333333333	0	5	loss	0.1257873722471035	4	4	647	1642.2858815193176	1693724976.1701896	1458	0.0006478370125067274	0.6498973369598389	0.5210135579109192	14903	0.878000020980835	revived-sweep-66
154	transformer	0.8127370688756514	0.9932788813346044		0.7007579509322441	0.000974206772978646	0.23898839674142475	3	1	adam	reduceonplateau	2	528	1	960	61	True	9.002171678903821e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693723295/version_0	6	320	2	2	0.1108407265160528	True	128	128	100	61	3372200	2	TransformerEncoder	39		min	0.000974206772978646	1	0.3333333333333333	0	5	loss	0.7007579509322441	4	2	395	1714.242047548294	1693725018.6174436	891	9.002171678903821e-05	0.9647522568702698	0.7998274564743042	15047	0.8799999952316284	absurd-sweep-65
155	transformer	0.957472389740618	0.994811579784024		0.25993767397540496	0.00012972669793672928	0.4079956750637857	3	1	adam	reduceonplateau	2	1616	1	1280	61	True	7.435284446535685e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693721460/version_0	8	400	2	8	0.1368408553116659	True	128	128	100	61	4269500	3	TransformerEncoder	39		min	0.00012972669793672928	1	0.3333333333333333	0	5	loss	0.25993767397540496	4	3	603	4106.025825500488	1693725573.4093876	1359	7.435284446535685e-05	1.1123533248901367	0.9561091661453248	15099	0.8730000257492065	treasured-sweep-64
156	transformer	0.9830329980373488	0.9976843546505584		0.7790923251979869	0.0007124163218031257	0.1180530505585684	3	1	adam	warmupinvsqrt	2	1024	1	448	61	True	4.136979873683026e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693721140/version_0	8	288	2	8	0.177155896536351	True	128	128	100	61	1029600	5	TransformerEncoder	39		min	0.0007124163218031257	1	0.3333333333333333	2010	5	loss	0.7790923251979869	4	5	799	3759.4147469997406	1693724908.659419	1800	1.4672126045628406e-06	1.430940866470337	1.3144358396530151	15999	0.7200000286102295	genial-sweep-62
157	transformer	0.9064452559025864	0.9940709727153766		0.5165296245023169	8.014863296882151e-05	0.14225834489208533	3	1	adam	warmupinvsqrt	2	1536	1	704	61	True	6.415644072048758e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693721143/version_0	6	128	2	8	0.051910747810785	True	128	128	100	61	1508300	2	TransformerEncoder	39		min	8.014863296882151e-05	1	0.3333333333333333	2945	5	loss	0.5165296245023169	4	2	759	2131.473950147629	1693723280.7730432	1710	2.8258364705446008e-05	0.604070246219635	0.4324374496936798	15199	0.8610000014305115	fallen-sweep-63
158	transformer	0.8577825735239185	0.9971752826753364		0.34097211743502986	0.0009659361319808078	0.42362378154965674	3	1	adam	warmupinvsqrt	2	1712	1	192	61	True	0.0032498792795925824	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693720745/version_0	2	320	4	8	0.16228929396750613	True	128	128	100	61	3768600	4	TransformerEncoder	39		min	0.0009659361319808078	1	0.3333333333333333	8805	5	loss	0.34097211743502986	4	4	755	2689.1460287570953	1693723440.4490678	1701	0.0022654412936190856	1.3201377391815186	1.1403381824493408	18143	0.8690000176429749	rich-sweep-61
159	transformer	0.9613734318814252	0.982050602925123		0.5950240815639234	0.00022694609970422576	0.1995614226227196	3	1	adam	None	2	1088	1	320	61	True	5.067170146895421e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693720596/version_0	2	480	4	8	0.12148278903823176	True	128	128	100	61	4766200	4	TransformerEncoder	39		min	0.00022694609970422576	1	0.3333333333333333	0	5	loss	0.5950240815639234	4	4	799	2935.596707344055	1693723539.141081	1800	5.067170146895421e-06	1.0384366512298584	0.9047294855117798	29599	0.8569999933242798	spring-sweep-60
160	transformer	0.8464879261474181	0.9808297459004486		0.7505604903820959	0.00021662796002373675	0.4839527537159003	3	1	adam	warmupinvsqrt	2	1072	1	832	61	True	4.460780615885486e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693720372/version_0	2	272	2	8	0.18289885316164745	True	128	128	100	61	3557300	4	TransformerEncoder	39		min	0.00021662796002373675	1	0.3333333333333333	13273	5	loss	0.7505604903820959	4	4	203	745.7683012485504	1693721127.0943265	459	2.592515759130614e-06	3.645929336547851	3.088961601257324	7751	0.0	wobbly-sweep-59
161	transformer	0.8420473747331527	0.9978616808958334		0.5025013437014568	4.599356152425251e-05	0.46466946614267657	3	1	adam	None	2	1328	1	1536	61	True	0.00016207497805278737	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693719848/version_0	4	464	4	8	0.1541931241829419	True	128	128	100	61	280200	2	TransformerEncoder	39		min	4.599356152425251e-05	1	0.3333333333333333	0	5	loss	0.5025013437014568	4	2	799	7054.681978464127	1693726909.8416436	1800	0.00016207497805278737	1.2993502616882324	1.0590813159942627	24799	0.8790000081062317	playful-sweep-58
162	transformer	0.9169333326446978	0.9938567890137628		0.3930858464665322	0.0006235012097753936	0.4969241557487592	3	1	adam	warmupinvsqrt	2	208	1	832	61	True	0.00041370819624952194	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693719701/version_0	6	352	8	4	0.17576095930569957	True	128	128	100	61	1729600	2	TransformerEncoder	39		min	0.0006235012097753936	1	0.3333333333333333	8315	5	loss	0.3930858464665322	4	2	579	3608.1085731983185	1693723317.5597153	1305	0.0002239690098283906	1.4984431266784668	1.1901942491531372	28419	0.8510000109672546	dauntless-sweep-57
163	transformer	0.971118590362018	0.9842522644991708		0.7119297376760654	0.0007689298658872872	0.23267518511870328	3	1	adam	None	2	160	1	1728	61	True	1.2998356692728447e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693719266/version_0	2	192	4	2	0.05104048856739481	True	128	128	100	61	3444700	2	TransformerEncoder	39		min	0.0007689298658872872	1	0.3333333333333333	0	5	loss	0.7119297376760654	4	2	799	4085.25380563736	1693723358.3880277	1800	1.2998356692728447e-06	0.8739452362060547	0.7851716876029968	50399	0.5870000123977661	legendary-sweep-56
164	transformer	0.8725025556757079	0.9981674430415558		0.7097359598392801	0.0006870691222545087	0.4504010676524155	3	1	adam	reduceonplateau	2	608	1	640	61	True	0.00043319559278936646	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693719079/version_0	6	400	4	4	0.0563722782135582	True	128	128	100	61	4871200	1	TransformerEncoder	39		min	0.0006870691222545087	1	0.3333333333333333	0	5	loss	0.7097359598392801	4	1	443	2362.1286358833313	1693721447.9069898	999	0.00043319559278936646	0.6971533298492432	0.4677911698818207	14651	0.8730000257492065	flowing-sweep-55
165	transformer	0.925756895438626	0.992106768903426		0.4078221942876813	0.0009564767573438332	0.2384824286353212	3	1	adam	reduceonplateau	2	1632	1	320	61	True	7.664037088082666e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693718574/version_0	8	32	2	4	0.046078960179073584	True	128	128	100	61	343900	2	TransformerEncoder	39		min	0.0009564767573438332	1	0.3333333333333333	0	5	loss	0.4078221942876813	4	2	799	2153.7025887966156	1693720736.1398108	1800	7.664037088082666e-05	0.6689969301223755	0.6233108639717102	19999	0.7400000095367432	trim-sweep-54
166	transformer	0.8897795972343545	0.9917926892521078		0.4743937243233006	0.00025621193938518564	0.2100934903616356	3	1	adam	None	2	1392	1	1088	61	True	5.7419618257306266e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693717859/version_0	4	192	8	8	0.06977390307877696	True	128	128	100	61	2483400	5	TransformerEncoder	39		min	0.00025621193938518564	1	0.3333333333333333	0	5	loss	0.4743937243233006	4	5	515	1822.7717518806455	1693719689.2321298	1161	5.7419618257306266e-05	0.6563742160797119	0.5459162592887878	11351	0.8769999742507935	youthful-sweep-51
