	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	val_loss	_timestamp	train_loss	_step	lr-Adam	_runtime	trainer/global_step	epoch	max_val_accuracy	name
199	attentive_lstm	0.8802063001933097	0.9925955239180014		0.17868239059189525	0.0009222409088048686	0.4279771581608015	3	1	adam	reduceonplateau	2	1184	1	384	34	True	1.528301148823222e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696581508/version_0	1	80	2	1	0.1455728153474242	True	128	128	67	34	1130800	4	LSTMEncoder	33		min	0.0009222409088048686	1	0.3333333333333333	0	5	loss	0.17868239059189525	4	4	2.957691192626953	1696582449.399848	2.1807403564453125	459	1.528301148823222e-06	933.974662065506	9587	203	0.0	lyric-sweep-22
200	attentive_lstm	0.8987936370495506	0.997409295800078		0.37934596516363994	0.0008687628371349956	0.1810907563050133	3	1	adam	warmupinvsqrt	2	1984	1	192	34	True	0.0024053399789634947	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696580846/version_0	1	400	1	1	0.06284799121503792	True	128	128	67	34	3221400	3	LSTMEncoder	33		min	0.0008687628371349956	1	0.3333333333333333	12989	5	loss	0.37934596516363994	4	3	0.4499350190162658	1696581940.1906042	0.4478167593479157	765	0.0017577555685827618	1086.638109207153	9519	339	0.9900000095367432	lemon-sweep-21
201	attentive_lstm	0.8246136649409411	0.9806712641192524		0.25287899607039366	0.0002766305959116237	0.353176669699657	3	1	adam	warmupinvsqrt	2	1408	1	1088	34	True	1.312317108245556e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696580575/version_0	1	240	1	1	0.08735412492865227	True	128	128	67	34	238300	2	LSTMEncoder	33		min	0.0002766305959116237	1	0.3333333333333333	1353	5	loss	0.25287899607039366	4	2	0.5970452427864075	1696589833.394765	0.5975712537765503	1269	3.2576257406346866e-06	9250.69817996025	21995	563	0.9900000095367432	whole-sweep-20
202	attentive_lstm	0.8689230965786602	0.9910116282225496		0.13722210208554328	0.0007188865868045243	0.04365637334599465	3	1	adam	warmupinvsqrt	2	1504	1	1152	34	True	0.0043377700192328405	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696580428/version_0	1	480	1	1	0.10001540687467798	True	128	128	67	34	4602300	2	LSTMEncoder	33		min	0.0007188865868045243	1	0.3333333333333333	24480	5	loss	0.13722210208554328	4	2	0.6635187268257141	1696584538.0468469	0.6585659980773926	522	0.0015144983804895051	4101.7548677921295	8583	231	0.9900000095367432	cool-sweep-19
203	attentive_lstm	0.8590333247153978	0.986812785156233		0.613127817812223	0.0004434821558246811	0.4296347950460381	3	1	adam	warmupinvsqrt	2	208	1	1792	34	True	0.00019605857149232616	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696580182/version_0	1	368	2	1	0.15157688784650394	True	128	128	67	34	4522700	4	LSTMEncoder	33		min	0.0004434821558246811	1	0.3333333333333333	21743	5	loss	0.613127817812223	4	4	0.938218116760254	1696594400.6685033	0.9398106336593628	792	0.0001044449447452336	14212.321758270264	11615	351	0.9900000095367432	toasty-sweep-18
204	attentive_lstm	0.9377162443077164	0.996634726535279		0.6564623549528656	0.0007332742238503169	0.3475847265709576	3	1	adam	None	2	720	1	1536	34	True	0.002313055356305712	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696579309/version_0	1	160	2	1	0.15791608665963114	True	128	128	67	34	974200	1	LSTMEncoder	33		min	0.0007332742238503169	1	0.3333333333333333	0	5	loss	0.6564623549528656	4	1	1.0143228769302368	1696588060.2600124	0.9682193398475648	675	0.002313055356305712	8743.82231926918	8699	299	0.9900000095367432	good-sweep-16
205	attentive_lstm	0.8612121001265335	0.9851947162360724		0.5785736011516946	0.0005110017529998736	0.18167423569227695	3	1	adam	reduceonplateau	2	1664	1	640	34	True	0.009526535769875033	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696578708/version_0	1	320	2	1	0.18524221041379751	True	128	128	67	34	2876700	3	LSTMEncoder	33		min	0.0005110017529998736	1	0.3333333333333333	0	5	loss	0.5785736011516946	4	3	1.1040043830871582	1696580540.76621	1.1030843257904053	504	0.0005110017529998736	1824.6459350585935	7391	223	0.9900000095367432	skilled-sweep-15
206	attentive_lstm	0.9223866083956288	0.9980205783338948		0.829401280448259	0.00032399009814328096	0.403674970617972	3	1	adam	None	2	64	1	384	34	True	4.208460719981635e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696578652/version_0	1	400	1	1	0.04730372612204401	True	128	128	67	34	3030300	4	LSTMEncoder	33		min	0.00032399009814328096	1	0.3333333333333333	0	5	loss	0.829401280448259	4	4	0.35464268922805786	1696580807.4125092	0.35334065556526184	675	4.208460719981635e-05	2147.0829021930695	32099	299	0.9900000095367432	exalted-sweep-14
207	attentive_lstm	0.9569501537506638	0.9892449471750996		0.6121283603675929	0.00021071556725980135	0.20874134716347487	3	1	adam	reduceonplateau	2	1424	1	896	34	True	0.0014217326225252683	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696577582/version_0	1	112	2	1	0.19224586157962548	True	128	128	67	34	2592800	2	LSTMEncoder	33		min	0.00021071556725980135	1	0.3333333333333333	0	5	loss	0.6121283603675929	4	2	1.1382006406784058	1696580376.6807632	1.1351302862167358	477	0.00021071556725980135	2784.371996164322	8267	211	0.9900000095367432	floral-sweep-13
208	attentive_lstm	0.8698848903296633	0.9903947464095212		0.8500691640472109	0.0001852813841504803	0.024686952718660726	3	1	adam	reduceonplateau	2	272	1	1536	34	True	0.0023751618643100565	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696577557/version_0	1	336	2	1	0.13116975400308056	True	128	128	67	34	2086200	1	LSTMEncoder	33		min	0.0001852813841504803	1	0.3333333333333333	0	5	loss	0.8500691640472109	4	1	0.8833988308906555	1696583932.3829088	0.8266297578811646	486	0.0001852813841504803	6367.687388896942	11015	215	0.9900000095367432	wise-sweep-12
