	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	val_loss	_timestamp	train_loss	trainer/global_step	_step	lr-Adam	_runtime	max_val_accuracy	name
65	transformer	0.8432447299059354	0.9833916958362698		0.2997768658063461	0.0009511854376882598	0.4974990112170114	3	1	adam	None	2	256	1	768	50	True	5.259714323505135e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695363926/version_0	4	176	2	8	0.10181821690306098	True	128	128	83	50	5000	4	TransformerEncoder	33		min	0.0009511854376882598	1	0.3333333333333333	0	5	loss	0.2997768658063461	4	4	799	1.093494892120361	1695368001.2285666	0.8192950487136841	31999	1800	5.259714323505135e-05	4068.600735664368	0.8830000162124634	desert-sweep-163
66	transformer	0.8736234005137162	0.9825534140986586		0.7941365394823305	0.0006668701183381849	0.3376280047028431	3	1	adam	warmupinvsqrt	2	1216	1	1344	50	True	3.9796984735850096e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695363604/version_0	2	368	2	4	0.12551207986443216	True	128	128	83	50	2944200	4	TransformerEncoder	33		min	0.0006668701183381849	1	0.3333333333333333	9684	5	loss	0.7941365394823305	4	4	799	1.0649595260620115	1695366689.2992415	0.8939638733863831	26399	1800	2.4118328121492344e-05	3079.989042520523	0.9319999814033508	earthy-sweep-162
67	transformer	0.9335834506913556	0.99657068053609		0.8329771176422105	4.017656806892535e-05	0.14233186542992549	3	1	adam	reduceonplateau	2	368	1	1280	50	True	0.0038959164544273696	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695362666/version_0	2	64	2	4	0.11562144800178728	True	128	128	83	50	1168900	3	TransformerEncoder	33		min	4.017656806892535e-05	1	0.3333333333333333	0	5	loss	0.8329771176422105	4	3	643	0.8610912561416626	1695364030.16578	0.8023611903190613	18031	1449	4.85068804272069e-05	1356.5931961536407	0.9660000205039978	swift-sweep-161
68	transformer	0.9905102778901624	0.9829364322904068		0.7246886442367236	0.0002221626066353586	0.3884104397531157	3	1	adam	None	2	752	1	1344	50	True	2.2922748060515084e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695362666/version_0	4	320	6	8	0.1893042966139583	True	128	128	83	50	940500	3	TransformerEncoder	33		min	0.0002221626066353586	1	0.3333333333333333	0	5	loss	0.7246886442367236	4	3	799	1.3564865589141846	1695367670.1879294	1.225934624671936	21599	1800	2.2922748060515084e-05	4996.685610294342	0.9459999799728394	wild-sweep-160
69	transformer	0.8982451190508132	0.992731901579611		0.36147883052946206	0.00028841437774676336	0.4514391276361844	3	1	adam	warmupinvsqrt	2	1904	1	320	50	True	0.005775756167140697	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695361000/version_0	6	224	4	4	0.1734635103373229	True	128	128	83	50	1299900	2	TransformerEncoder	33		min	0.00028841437774676336	1	0.3333333333333333	2730	5	loss	0.36147883052946206	4	2	799	1.340083122253418	1695366571.5368145	1.1530345678329468	17599	1800	0.002276173925210351	5564.152134418488	0.9480000138282776	swept-sweep-159
70	transformer	0.930699720622582	0.9806172938381532		0.48835581004997974	5.172969826487684e-05	0.4782588370080399	3	1	adam	reduceonplateau	2	1984	1	512	50	True	0.0005803944689689351	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695360735/version_0	2	320	2	4	0.04971433054834409	True	128	128	83	50	4433700	3	TransformerEncoder	33		min	5.172969826487684e-05	1	0.3333333333333333	0	5	loss	0.48835581004997974	4	3	799	0.5889278650283813	1695363913.7356846	0.45877665281295776	16799	1800	5.172969826487684e-05	3172.850472688675	0.9200000166893004	sweepy-sweep-158
71	transformer	0.808268126629864	0.9825521652976092		0.15583024886938032	0.0003786893920267862	0.3975248467506926	3	1	adam	reduceonplateau	2	1680	1	64	50	True	0.0019777369873153487	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695360671/version_0	6	32	2	8	0.12099145845422273	True	128	128	83	50	3415300	3	TransformerEncoder	33		min	0.0003786893920267862	1	0.3333333333333333	0	5	loss	0.15583024886938032	4	3	799	1.399472951889038	1695362643.9772062	1.230075478553772	19199	1800	0.0003786893920267862	1964.299976348877	0.7120000123977661	royal-sweep-157
72	transformer	0.8111398259567381	0.9918737084450256		0.6540960759727054	0.00015725261357345423	0.3968459589605847	3	1	adam	reduceonplateau	2	1072	1	448	50	True	0.0001224144708818959	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695360668/version_0	4	432	4	8	0.05699917369624119	True	128	128	83	50	1233100	3	TransformerEncoder	33		min	0.00015725261357345423	1	0.3333333333333333	0	5	loss	0.6540960759727054	4	3	555	0.5561550855636597	1695363585.5402188	0.4406505227088928	21127	1251	0.0001224144708818959	2912.0127148628235	0.9700000286102296	jumping-sweep-156
73	transformer	0.9634290131474754	0.9882919466096558		0.1412314261291181	0.0005251402650402469	0.47876587666420023	3	1	adam	reduceonplateau	2	1328	1	832	50	True	3.464967373036903e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695359815/version_0	2	160	8	8	0.06920006218366	True	128	128	83	50	1637800	3	TransformerEncoder	33		min	0.0005251402650402469	1	0.3333333333333333	0	5	loss	0.1412314261291181	4	3	203	3.736495971679687	1695360656.0943854	2.3134984970092773	6323	459	3.464967373036903e-06	834.9759874343872	0.0	young-sweep-155
74	transformer	0.8856177822940442	0.996492050221664		0.7695451637540122	0.0007343412032037364	0.1584384372077235	3	1	adam	reduceonplateau	2	1936	1	896	50	True	0.0025977791558011486	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695359787/version_0	8	496	2	4	0.11221148856286678	True	128	128	83	50	3663400	3	TransformerEncoder	33		min	0.0007343412032037364	1	0.3333333333333333	0	5	loss	0.7695451637540122	4	3	387	3.985725164413452	1695366948.3751817	2.206799030303955	8147	873	0.0007343412032037364	7154.683437585831	0.0020000000949949026	dark-sweep-154
