	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	val_loss	_timestamp	_step	lr-Adam	_runtime	trainer/global_step	epoch	train_loss	max_val_accuracy	name
167	attentive_lstm	0.9802661433041672	0.9964463978206444		0.3423518510428579	0.0004838875970150079	0.18490543332462656	3	1	adam	None	2	1168	1	1152	33	True	1.0933791960155384e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694773914/version_0	1	48	1	1	0.14575972029446635	True	128	128	64	33	163400	3	LSTMEncoder	31		min	0.0004838875970150079	1	0.3333333333333333	0	5	loss	0.3423518510428579	4	3	0.9178535342216492	1694786709.139441	1800	1.0933791960155384e-05	12788.572573900225	27999	799	0.9168678522109984	0.9869999885559082	fluent-sweep-62
168	attentive_lstm	0.9089269407547176	0.9831014097678574		0.65836798631756	0.00028714489037095456	0.27547975532821384	3	1	adam	warmupinvsqrt	2	176	1	448	33	True	0.003031316810273958	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694772405/version_0	1	128	2	1	0.1222457500765954	True	128	128	64	33	555800	3	LSTMEncoder	31		min	0.00028714489037095456	1	0.3333333333333333	3157	5	loss	0.65836798631756	4	3	0.786172091960907	1694773903.1278405	594	0.0013910838760661382	1488.9353976249697	15047	263	0.7922648191452026	0.996999979019165	fancy-sweep-61
169	attentive_lstm	0.9335368599947133	0.9912453330395764		0.8703547388642959	0.0006707858321813294	0.2343882245284335	3	1	adam	warmupinvsqrt	2	1152	1	1856	33	True	0.00023939478109028968	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694771964/version_0	1	208	2	1	0.11122726089494402	True	128	128	64	33	3869900	2	LSTMEncoder	31		min	0.0006707858321813294	1	0.3333333333333333	10077	5	loss	0.8703547388642959	4	2	0.720139741897583	1694826896.0447836	1638	0.0001715264977154214	54925.601524591446	19655	727	0.7177098393440247	0.9980000257492064	major-sweep-60
170	attentive_lstm	0.8423195264718898	0.992109237684484		0.782653139218801	0.0002836207619670979	0.32988135970604443	3	1	adam	None	2	1392	1	1152	33	True	7.846325564609189e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694771744/version_0	1	496	2	1	0.08248760315078599	True	128	128	64	33	3215700	3	LSTMEncoder	31		min	0.0002836207619670979	1	0.3333333333333333	0	5	loss	0.782653139218801	4	3	0.560413122177124	1694783612.3955102	819	7.846325564609189e-05	11860.59693813324	8007	363	0.5596731305122375	0.996999979019165	laced-sweep-59
171	attentive_lstm	0.927872096568349	0.9903665970532256		0.8979494344090974	0.0005852341023715279	0.2786818737534937	3	1	adam	warmupinvsqrt	2	448	1	448	33	True	0.0028771231533319145	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694770125/version_0	1	496	2	1	0.013338583939892802	True	128	128	64	33	1764100	2	LSTMEncoder	31		min	0.0005852341023715279	1	0.3333333333333333	3937	5	loss	0.8979494344090974	4	2	0.14140060544013977	1694771953.1791456	594	0.002321129478142373	1816.4934766292572	6071	263	0.1212255284190178	0.996999979019165	treasured-sweep-58
172	attentive_lstm	0.9456041960580648	0.9803046253575812		0.6273015350806416	0.0003940712185658881	0.4839300543970527	3	1	adam	None	2	1504	1	1024	33	True	6.410479510849538e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694768474/version_0	1	320	1	1	0.1157446168417	True	128	128	64	33	3340400	3	LSTMEncoder	31		min	0.0003940712185658881	1	0.3333333333333333	0	5	loss	0.6273015350806416	4	3	0.7595956325531006	1694779125.3876777	1800	6.410479510849538e-06	10643.742708683014	21599	799	0.7610140442848206	0.9900000095367432	northern-sweep-57
173	attentive_lstm	0.9202734523934012	0.9988184458990366		0.5995496540085534	0.0003780660152742533	0.36112998178583033	3	1	adam	warmupinvsqrt	2	128	1	1536	33	True	0.007082974744991085	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694768114/version_0	1	256	1	1	0.15340910667925253	True	128	128	64	33	3556600	2	LSTMEncoder	31		min	0.0003780660152742533	1	0.3333333333333333	27785	5	loss	0.5995496540085534	4	2	3.541769504547119	1694774426.882042	540	0.004813159840207906	6303.5730040073395	18959	239	1.9411853551864624	0.996999979019165	visionary-sweep-56
174	attentive_lstm	0.8430348275651834	0.9893487726928208		0.8801962562523364	0.0001690314097253396	0.2345252042240047	3	1	adam	reduceonplateau	2	752	1	192	33	True	5.421396749861775e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694765486/version_0	1	32	2	1	0.02423866966515824	True	128	128	64	33	2604100	1	LSTMEncoder	31		min	0.0001690314097253396	1	0.3333333333333333	0	5	loss	0.8801962562523364	4	1	0.20769736170768735	1694768097.722716	1800	5.421396749861775e-05	2603.7649159431458	21599	799	0.21670657396316528	0.9929999709129332	effortless-sweep-55
175	attentive_lstm	0.9955660850118404	0.9863101886883026		0.8022749110045398	0.0002444246271681978	0.33395919579552596	3	1	adam	reduceonplateau	2	432	1	1856	33	True	0.006391731803400042	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694764997/version_0	1	320	2	1	0.15585449570117252	True	128	128	64	33	2281300	4	LSTMEncoder	31		min	0.0002444246271681978	1	0.3333333333333333	0	5	loss	0.8022749110045398	4	4	3.713248252868652	1694778160.103231	738	0.0004544614773824275	13152.064285039902	7871	327	1.8198261260986328	0.0010000000474974513	blooming-sweep-54
176	attentive_lstm	0.867260903527842	0.9872384890419558		0.790251558098373	0.0004204591117933424	0.2924542402713979	3	1	adam	None	2	2048	1	1472	33	True	0.0009755459056954536	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694764906/version_0	1	16	2	1	0.12654021702633042	True	128	128	64	33	871200	5	LSTMEncoder	31		min	0.0004204591117933424	1	0.3333333333333333	0	5	loss	0.790251558098373	4	5	0.7994633316993713	1694772383.1008894	558	0.0009755459056954536	7467.9610295295715	4959	247	0.8004350066184998	0.996999979019165	genial-sweep-53
